-No-  Hi  Lo  Artist's Name
 687   1   0  Siouxsie And The Banshees {whr}
 688   0   1  Sister Hazel
 689   1   2  Sister Sledge
 690   1   0  Slash
 691   1   1  Slayer
 692   1   0  Sledge, Percy
 693   1   0  Slipnot
 694   2   1  Sly And The Family Stone
 695   1   0  Smash Mouth
 696   3   5  Smashing pumpkins
 697   5   0  Smith, Patti
 698   3   0  Snow Patrol
 699   1   1  Soundgarden
 700   0   1  Soup Dragons, the
 701   1   0  Spalding, Esperanza
 702   2   1  Spears, Britney
 703   4   0  Spector, Phil
 704   1   0  Springfield, Buffalo
 705   1   0  Springfield, Dusty
 706   3   5  Springsteen, Bruce
 707   1   0  Squeeze
 708   3   0  St Marie, Buffy
 709   1   0  Stabbing Westward
 710  30   0  Stax
 711   5   0  Steely Dan
 712   2   0  Stefani, Gwen
 713   1   0  Steffenwolf
 714   1   0  Stereolab
 715   2   0  Steve Miller Band, the
 716   1   0  Stevens, Cat
 717   4   0  Stevie Wonder
 718   1   0  Stewart, Al
 719   0   1  Stewart, Rod
 720   4   0  Stiff Records
 721   0   1  Sting
 722   1   0  Stirling, Lindsey
 723   0   4  Stone Temple Pilots
 724   1   0  Stooges, The
 725   0   1  Streetlight Manifesto
 726   0   2  Strokes, the
 727   0   3  Styx
 728   0   1  Subdudes, the
 729   2   7  Sublime
 730   1   0  Sublime with Rome
 731   1   3  Sugar Ray
 732   1   0  Summer, Donna
 733   2   0  Sun Ra
 734   1   1  Supertramp
 735   1   0  Sweet Honey in the Rock
 736   0   1  Sweet, Matthew
 737   1   0  Swift, Taylor
 738   0   1  Swingfield Big Band, The
 739   1   4  System of a down
 740   8  28  Soundtracks Various Artists
 741   0   1  T.I
 742   1  12  Talking Heads
 743   1   0  Tank Girl
 744   2  16  Taylor, James
 745   0   1  Taylor, Paul
 746   1   0  Tears For Fears
 747   1   0  Temple Of The Dog
 748   8   0  Temptations, The
 749   0   1  Tender Love
 750   5   2  Tesla
 751   5   1  Tharpe, Sister Rosetta
 752   0   4  They Might Be Giants
 753   0   2  Thin Lizzy
 754   1   3  Third eye blind
 755   0   2  Thomas, Carl
 756   1   0  Thompson Twins
 757   4   0  Thompson, Richard
 758   1   0  Thorogood, George  & The Destroyers
 759   2   0  Three Days Grace
 760   1   1  Three Dog Night
 761   2   0  Tisdale, Ashley
 762   3   4  Tomita
 763   5   1  Tool
 764   0   2  Toots and the Maytals
 765   1   0  Tosh, Peter
 766   2   0  Tower of Power
 767   0   1  Townsend, Pete
 768   3   1  Traffic
 769   0   3  Tragically Hip
 770   1   2  Train
 771   2   0  Trainor, Meghan
 772   2   0  Trans-Siberian Orchestra
 773   2   0  Traveling Wilburys, The
 774   1   1  Triumph
 775   0   1  Trower, Robin
 776   2   3  Tull, Jethro
 777   1   0  Tunstall, KT
 778   1   0  Turner, Big Joe
 779   1   0  Twisted Sister
 780   1   0  Type O Negative
 781   0   4  Tyrese
 782  19   7  U2
 783   1   0  Uncle Tupelo
 784   0   1  Urban Dance Squad
 785   1   0  Uriah Heep
 786   0   5  Usher
 787   4   0  Valli, Frankie & the 4 Seasons
 788   0   1  Vampire Weekend
 789   4   8  Van Halen
 790  78  58  Various Artists
 791   3   4  Vaughan, Stevie Ray & Double Trouble
 792   2   0  Vega, Suzanne
 793   1   0  Velvet Revolver
 794   1   1  Velvet Underground, the
 795   0   2  Vertical Horizon
 796   0   1  Veruca Salt
 797   1   0  Very Best, The
 798   2   0  Vile, Kurt
 799   1   1  Village People, the
 800   0   1  Violent Femmes
 801   1   0  Wallflowers, the
 802   2   0  Walsh, Joe
 803   2   0  War
 804   3   0  Warwick, Dionne
 805   1   0  Washburn, Abigail
 806   1   0  Waters, Muddy
 807   1   0  Waters, Roger
 808   4   0  Weavers, the
 809   3   0  Webber, Andrew Lloyd & Tim Rice
 810   5   0  Weezer
 811   0   1  Wells, Junior
 812   1   0  West, Kanye
 813   3   0  White Stripes, The
 814   0   1  White Zombie
 815   2   1  White, Barry
 816   1   0  White, Jack
 817   5   1  Whitesnake
 818  15  13  Who, the
 819   1   0  Wicks, Chuck
 820   1   1  Widespread Panic
 821   3   1  Wilco
 822   1   0  Wilson, Cassandra
 823   1   1  Wilson, Gretchen
 824   1   0  Wilson, Jackie
