-No-  Hi  Lo  Artist's Name
 597  31   0  Led Zeppelin
 598   1   0  LeDoux Chris
 599   2   0  Lee, Brenda
 600   2   2  Lennon, John
 601   1   0  Lennox, Annie
 602   1   0  Levan, Ivy
 603   1  17  LeVert, Gerald
 604   4   0  Lewis, Jerry Lee
 605   1   0  Li, Lykke
 606   1   1  Lifehouse
 607   1   0  Lightman, Toby
 608   0   3  Lil Wayne
 609   2   2  Limp Bizkit
 610   1   1  Linkin Park
 611   1   0  Lit
 612   0   1  Litte Feat
 613   3   0  Little Richard
 614   1   0  Little River Band
 615   2   1  Live
 616   1   0  LL Cool J
 617   1   0  Loggins & Messina
 618   2   0  Loggins, Kenny
 619   1   0  Lorde
 620   1   2  Los Lobos
 621   3   0  Los Lonely Boys
 622   1   0  Louper, Cyndi
 623   1   0  Love
 624   0   1  Love and Rockets
 625   1   0  Love, Darlene
 626   1   0  Lovelace, Patty
 627   0   1  Loverboy
 628   1   0  Lovin' Spoonful, the
 629   1   0  Lowe, Nick
 630   0   2  LSG
 631   0   6  Ludacris
 632   2   0  Lumineers, the
 633  11   0  Lynyrd Skynyrd
 634   2   0  M.I.A.
 635   1   0  Ma, Yo-Yo
 636   2   0  MacDemot, Galt
 637   1   0  Mad Season
 638   2   3  Madonna
 639   1   0  Magic!
 640   6   0  Magnetic Fields, the
 641   5   0  Mahavishno Orchestra
 642   1   0  Makeba, Miriam
 643   1   1  Malmsteen, Yngwie
 644   7   0  Mamas & The Papas, The
 645   1   0  Manhattans, the
 646   2   0  Manilow, Barry
 647   0   1  Maranatha Group
 648   2   0  Marilyn Manson
 649   6   9  Marley, Bob
 650   1   4  Marley, Ziggy
 651   2   0  Maroon 5
 652   1   0  Mars Volta, the
 653   3   0  Mars, Bruno
 654   1   0  Martin, Ricky
 655   1   0  Martin, Steve and the Steep Canyon Rangers feat. Edie Brickell
 656   1   0  Marvelettes, the
 657   1   0  Mastodon
 658   2   1  Matchbox 20
 659   0   2  Mathematics
 660   0   4  Maxwell
 661   6   0  Mayall, John
 662   1   1  Mayer, John
 663   2   1  Mayfield, Curtis
 664   2   1  Mazzy Star
 665   2   0  MC5
 666   1   0  McBride, Martina
 667   3   0  McCartney, Paul
 668   1   0  McDonald Michael
 669   3   0  McEntire, Reba
 670   2   0  McGraw, Tim
 671   0   1  McKenzie, Bob & Doug
 672   1   1  McLachlan, Sarah
 673   3   0  McLaughlin, John
 674   1   0  McLean, Don
 675   4   0  McTell, Blind Willie
 676   3   0  Meat Loaf
 677   1   0  Meat Puppets
 678   3   0  Megadeth
 679   0   1  Mejia, Lewis
 680  15   2  Mellencamp, John Cougar
 681   1   0  Melvins
 682   1   1  Men at work
 683   1   0  Mendes, Sergio
 684   4   0  Merchant, Natalie
 685   0   1  Mercy Me
 686   8   3  Metallica
 687   2   0  MGMT
 688   2   0  Michael, George
 689   1   0  Michaelson, Ingrid
 690   1   0  Michelle Shocked
 691   1   0  Midnight Oil
 692   1   0  Miguel
 693   3   0  Miller, Glenn
 694   0   1  Miller, Mac
 695   3   0  Miller, Roger
 696   0   2  Minaj, Nicki
 697   0   2  Ministry
 698   1   1  Minor Threat
 699   1   8  Mint Condition
 700   2   0  Mitchell, Joni
 701   1   0  Mitski
 702   1   0  Moby
 703   2   0  Mogwai
 704   1   0  Molly Hatchet
 705   1   0  Monae, Janelle
 706   0   1  Money, Eddie
 707   7   0  Monkees, The
 708   4   0  Monroe, Bill
 709   9   3  Moody Blues
 710   0   1  Moore, Gary
 711   3   1  Morissette, Alanis
 712   0   1  Morphine
 713   1   0  Morris, Maren
 714   9   5  Morrison, Van
 715   8   0  Morton, Jelly Roll
 716   0   3  Motley Crue
 717  10   0  Motown
 718   3   0  Mott the Hoople
 719   1   0  Mountain
 720   1   0  Mraz, Jason
 721   1   0  Muldaur, Maria
 722   5   0  My Chemical Romance
 723   2   0  My Morning Jacket
 724   1   0  Mya
 725   0   1  Myles, Alannah
 726   2   1  N.W.A
 727   2   3  Nakai, R Carlos
 728   2   0  Nas
 729   1   0  Nazareth
 730   1   0  Ne-Yo
 731   0   7  Nelly
 732   5   1  Nelson, Willie
 733   1   0  Nelson, Willie & Wynton Marsalis
 734   0   9  NeverShoutNever!
 735   0   1  Neville Brothers, the
 736   4   0  Neville, Aaron
 737   1   0  New Order
 738   1   0  New Pornographers, The
 739   0   1  New Radicals
 740   1   0  Newfield, Heidi
 741   4   0  Newman, Randy
 742   1   0  Newton-John, Olivia
 743   1   0  Nickel Creek
 744   7   2  Nickelback
 745   0   1  Nieves, Tito
 746   1   1  Night Ranger
 747  10   4  Nine Inch Nails
 748   4   3  Nirvana
 749   6   0  Nitty Gritty Dirt Band, the
 750   1   1  No Doubt
 751   2   0  NOFX
 752   0   1  Notorious B I G
 753   1   0  Nova, Aldo
 754   1   0  NSYNC
 755   2   0  Nugent, Ted
 756   0   1  O'Connor, Sinead
 757   4   2  Oasis
 758   1   0  Ochs, Phil
 759   1   0  Odetta  {whrt}
 760   0   5  Offspring
 761   0   1  Ol' Dirty Bastard
 762   0   1  Old 97's
 763   2   0  Old Crow Medicine Show
 764   1   0  One Direction
 765   2   0  ORB
 766   6   0  Orbison, Roy
 767   1   0  Orchestrial Manoeuvres In The Dark
 768   1   0  Orlando, Tony & Dawn
 769   1   0  Osborne, Joan
 770  10   0  Osbourne, Ozzy
 771   1   0  Oskay, Billy & Michael O'Domhnaill
 772   2   0  Outkast
 773   0   1  Owl City
 774   2   0  P.O.D.
 775   1   0  Page, Jimmy
 776   1   0  Page, Jimmy & Robert Plant
 777   1   0  Palmer, Amanda
 778   2   0  Palmer, Robert
 779   4   1  Pantera
 780   1   0  Paramore
 781   0   1  Parker, Graham
 782   1   0  Parsons, Alan
 783   2   0  Paul Butterfield Blues Band
 784   2   0  Paul Butterfield Blues Band, The
 785   2   0  Paul Revere & the Raiders
 786   1   0  Paul, Less
 787   0   1  Paul, Sean
 788  10   1  Pearl Jam
 789   0   1  Penguins, the
 790   1   0  Perkins, Carl
 791   3   0  Perry, Katy
 792   0   1  Pet Shop Boys
 793   7   0  Peter, Paul & Mary
 794   7   0  Petty, Tom & the Heartbreakers
 795   1   0  Peyroux, Madeleine
 796   2   0  Pge, Jimmy & the Black Crowes
 797   1   0  Phillips, Ester
 798   0   1  Phillips, John
 799   3   9  Phish
 800   2   0  Pickett, Wilson
 801   1   0  Pink
 802  32   0  Pink Floyd
 803   1   0  Pixies
 804   1   0  Plain White Ts
 805   4   0  Plant, Robert
 806   1   0  Platters, the
 807   0   4  Pogues, the
 808   0   5  Poi Dog Pondering
 809   1   1  Pointer Sisters, the
 810   3   0  Poison
 811   6   1  Police
 812   1   1  Porno For Pyros
 813   2   0  Postal Service, the
 814   1   0  Powter, Daniel
 815  13   1  Presley, Elvis
 816   3   0  Pretenders, the
 817   1   0  Pretty Girls Make Graves
 818   0   1  Pretty Ricky
 819   2   1  Primus
 820   7   2  Prince
 821   0   1  Probot
 822   0   1  Prodigy
 823   2   7  Public Enemy
 824   2   2  Puddle of Mudd
 825   1   0  PureNRG
 826  28  10  Queen
 827  15   0  Queensryche
 828   1   0  Quicksilver Messenger Service
 829  18   4  R.E.M.
 830   1   0  Rabbit, Eddie
 831   2   0  Raconteurs, The
 832  13   1  Radiohead
 833   1   0  Raekwon
 834   3   2  Rage Against The Machine
 835   1   0  Rag’n’Bone Man
 836   1   0  Rainbow
